cafe_name	name	dessert_tag	price	image_url
브라운홀릭	바닐라라떼	NULL	6,500원	NULL
브라운홀릭	콜드브르	NULL	6,000원	NULL
브라운홀릭	후추커피	NULL	6,500원	NULL
브라운홀릭	에스프레소	NULL	4,000원	NULL
브라운홀릭	얼그레이라떼	NULL	6,500원	NULL
브라운홀릭	카페모카	NULL	6,500원	NULL
브라운홀릭	밀크티	NULL	6,500원	NULL
브라운홀릭	초코라떼	NULL	6,500원	NULL
브라운홀릭	정귤에이드	NULL	6,500원	NULL
브라운홀릭	청귤티	NULL	6,500원	NULL
브라운홀릭	오렌지 루이보스	NULL	6,000원	NULL
브라운홀릭	민트블랜드	NULL	6,000원	NULL
브라운홀릭	스윗 로제 캐모마일	NULL	6,500원	NULL
후웨이즈텐카민	아메리카노	NULL	3,800원	NULL
후웨이즈텐카민	카페라떼	NULL	5,000원	NULL
후웨이즈텐카민	코코넛 커피	NULL	5,500원	NULL
후웨이즈텐카민	핫초코	NULL	5,000원	NULL
후웨이즈텐카민	자몽티	NULL	5,500원	NULL
후웨이즈텐카민	레몬에이드	NULL	5,500원	NULL
고양이라좋은날	고양이 츄르 (2개)	NULL	4,000원	NULL
욕망의북카페	아메리카노(HOT/ICE)	NULL	8,900원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F345974D7AE434828AA914C8FC8EBF645
욕망의북카페	카페라떼(HOT/ICE)	NULL	6,800원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAC2857E98A584FB6AE63AABB9C914259
욕망의북카페	프렌치얼그레이(HOT/ICE)	NULL	6,800원	NULL
욕망의북카페	1837 블랙티(HOT/ICE)	NULL	6,800원	NULL
욕망의북카페	크림카라멜(HOT/ICE)	NULL	6,800원	NULL
욕망의북카페	초콜릿라떼(HOT/ICE)	NULL	6,800원	NULL
욕망의북카페	방탄커피	NULL	7,000원	NULL
욕망의북카페	핑크 자몽에이드	NULL	6,800원	NULL
욕망의북카페	로즈마리 오렌지에이드	NULL	6,800원	NULL
욕망의북카페	애플민트 레몬에이드	NULL	6,800원	NULL
욕망의북카페	에메랄드 청포도에이드	NULL	6,800원	NULL
욕망의북카페	슈퍼푸드 견과류 8종	NULL	3,500원	NULL
욕망의북카페	네이버예약음료2잔	NULL	15,000원	NULL
뮬리	아메리카노	NULL	4,000원	NULL
뮬리	카페라떼	NULL	4,500원	NULL
뮬리	유자애플티	NULL	5,500원	NULL
뮬리	쌍화차 (HOT)	NULL	6,000원	NULL
뮬리	대추 생강차 (HOT)	NULL	6,000원	NULL
뮬리	유자 캐모마일 스무디	NULL	6,000원	NULL
트리오드	에스프레소	NULL	5,500원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F3DA0A2132B874CEF8F4B5AC0A0AD93AE
트리오드	바닐라라떼	NULL	6,800원	//img1.kakaocdn.net/cthumb/local/C212x180.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9404D0843DE2474FA8F286DC1C6AEA8C
